Function,Learning Rate,Optimizer,Activation,Hidden Size,Final Loss,Accurcy
generate_XOR_easy,0.001,SGD,sigmoid,30,0.14369507976664236,0.8571428571428571
generate_XOR_easy,0.001,SGD,ReLU,10,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.001,SGD,ReLU,20,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.001,SGD,ReLU,30,1.148272201856105e-08,1.0
generate_XOR_easy,0.001,SGD,tanh,10,0.0023408475456762304,1.0
generate_XOR_easy,0.001,SGD,tanh,20,0.0013396814796703164,1.0
generate_XOR_easy,0.001,SGD,tanh,30,0.0003691146287398411,1.0
generate_XOR_easy,0.001,SGD,none_activation,10,0.24943310657596346,0.5238095238095238
generate_XOR_easy,0.001,SGD,none_activation,20,0.24943310657596415,0.5238095238095238
generate_XOR_easy,0.001,SGD,none_activation,30,,0.5238095238095238
generate_XOR_easy,0.001,Momentum,sigmoid,10,0.056519340741278304,0.9047619047619048
generate_XOR_easy,0.001,Momentum,sigmoid,20,0.027058071439611697,1.0
generate_XOR_easy,0.001,Momentum,sigmoid,30,0.008563376024040316,1.0
generate_XOR_easy,0.001,Momentum,ReLU,10,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.001,Momentum,ReLU,20,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.001,Momentum,ReLU,30,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.001,Momentum,tanh,10,6.6813761010513e-05,1.0
generate_XOR_easy,0.001,Momentum,tanh,20,5.646564306098612e-05,1.0
generate_XOR_easy,0.001,Momentum,tanh,30,3.039713600989634e-05,1.0
generate_XOR_easy,0.001,Momentum,none_activation,10,0.24943310657596351,0.5238095238095238
generate_XOR_easy,0.001,Momentum,none_activation,20,0.2494331065759638,0.5238095238095238
generate_XOR_easy,0.001,Momentum,none_activation,30,,0.5238095238095238
generate_XOR_easy,0.001,Adagrad,sigmoid,10,0.1793810711593305,0.8571428571428571
generate_XOR_easy,0.001,Adagrad,sigmoid,20,0.08558311140161015,0.9047619047619048
generate_XOR_easy,0.001,Adagrad,sigmoid,30,0.04821774461290604,1.0
generate_XOR_easy,0.001,Adagrad,ReLU,10,0.036463384283045595,0.9523809523809523
generate_XOR_easy,0.001,Adagrad,ReLU,20,0.23940031105102091,0.7619047619047619
generate_XOR_easy,0.001,Adagrad,ReLU,30,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.001,Adagrad,tanh,10,0.003507448239951183,1.0
generate_XOR_easy,0.001,Adagrad,tanh,20,0.00040898941016339274,1.0
generate_XOR_easy,0.001,Adagrad,tanh,30,0.0007390121644587422,1.0
generate_XOR_easy,0.001,Adagrad,none_activation,10,0.26230811883038363,0.7142857142857143
generate_XOR_easy,0.001,Adagrad,none_activation,20,0.24943310696964285,0.5238095238095238
generate_XOR_easy,0.001,Adagrad,none_activation,30,0.24943310657596232,0.5238095238095238
generate_XOR_easy,0.001,Adam,sigmoid,10,3.784614364031749e-11,1.0
generate_XOR_easy,0.001,Adam,sigmoid,20,7.041093782321569e-11,1.0
generate_XOR_easy,0.001,Adam,sigmoid,30,7.350108004070619e-11,1.0
generate_XOR_easy,0.001,Adam,ReLU,10,0.23809523809527164,0.7619047619047619
generate_XOR_easy,0.001,Adam,ReLU,20,0.23809523809524274,0.7619047619047619
generate_XOR_easy,0.001,Adam,ReLU,30,0.23809523809523808,0.7619047619047619
generate_XOR_easy,0.001,Adam,tanh,10,5.964040096690101e-06,1.0
generate_XOR_easy,0.001,Adam,tanh,20,1.1403431457747403e-07,1.0
generate_XOR_easy,0.001,Adam,tanh,30,4.8998261117684905e-08,1.0
generate_XOR_easy,0.001,Adam,none_activation,10,0.2494366523766398,0.5238095238095238
generate_XOR_easy,0.001,Adam,none_activation,20,0.24943356289078758,0.5238095238095238
generate_XOR_easy,0.001,Adam,none_activation,30,0.24943310657596288,0.5238095238095238
generate_XOR_easy,0.01,SGD,sigmoid,10,0.028761365350789176,1.0
generate_XOR_easy,0.01,SGD,sigmoid,20,0.014543321212155434,1.0
generate_XOR_easy,0.01,SGD,sigmoid,30,0.007455054684775604,1.0
generate_XOR_easy,0.01,SGD,ReLU,10,5.485410850707853e-18,1.0
generate_XOR_easy,0.01,SGD,ReLU,20,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.01,SGD,ReLU,30,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.01,SGD,tanh,10,6.542341485701101e-05,1.0
generate_XOR_easy,0.01,SGD,tanh,20,3.606302278252952e-05,1.0
generate_XOR_easy,0.01,SGD,tanh,30,3.381527227431768e-05,1.0
generate_XOR_easy,0.01,SGD,none_activation,10,0.2494331065759638,0.5238095238095238
generate_XOR_easy,0.01,SGD,none_activation,20,,0.5238095238095238
generate_XOR_easy,0.01,SGD,none_activation,30,,0.5238095238095238
generate_XOR_easy,0.01,Momentum,sigmoid,10,0.0002064266616254444,1.0
generate_XOR_easy,0.01,Momentum,sigmoid,20,0.00021706334311097608,1.0
generate_XOR_easy,0.01,Momentum,sigmoid,30,0.00017234849769139118,1.0
generate_XOR_easy,0.01,Momentum,ReLU,10,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.01,Momentum,ReLU,20,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.01,Momentum,ReLU,30,0.47619047619047616,0.5238095238095238
generate_XOR_easy,0.01,Momentum,tanh,10,5.500152670635102e-06,1.0
generate_XOR_easy,0.01,Momentum,tanh,20,0.5238095055330494,0.47619047619047616
generate_XOR_easy,0.01,Momentum,tanh,30,2.594855994463003e-06,1.0
